,alpha_in,alpha_out,alpha_inout,Power [nW]
50,50.58,48.99444444444445,49.78555555555555,2385686.6666666665
51,51.36,48.895555555555546,50.12555555555556,2427076.6666666665
52,52.91,48.96666666666667,50.94111111111111,2498264.4444444445
53,53.69,49.02333333333334,51.358888888888885,2531341.111111111
54,54.47,49.05,51.75777777777778,2564262.222222222
55,56.03,49.06888888888889,52.54777777777778,2636227.777777778
56,56.8,49.08777777777778,52.94555555555556,2672026.6666666665
57,57.580000000000005,49.074444444444445,53.32888888888888,2710993.3333333335
58,59.14,49.215555555555554,54.17777777777778,2788580.0
59,59.919999999999995,49.05333333333333,54.48555555555556,2822824.4444444445
60,60.690000000000005,49.11,54.903333333333336,2853870.0
61,62.25,49.13000000000001,55.69111111111111,2932622.222222222
62,63.03,49.153333333333336,56.09111111111111,2959381.111111111
63,63.809999999999995,49.23444444444444,56.52,2992640.0
64,64.59,49.132222222222225,56.86,3036470.0
65,65.36,49.31777777777778,57.34111111111112,3065562.222222222
66,66.92,49.16888888888889,58.04222222222222,3138955.5555555555
67,67.7,49.07111111111111,58.385555555555555,3178512.222222222
68,68.48,49.25222222222223,58.864444444444445,3208991.111111111
69,70.03,49.3688888888889,59.699999999999996,3290626.6666666665
70,70.81,49.41777777777778,60.113333333333344,3318942.222222222
71,71.59,49.370000000000005,60.477777777777774,3352820.0
72,73.14,49.23555555555556,61.19111111111111,3431996.6666666665
73,73.92,49.367777777777775,61.64666666666666,3467095.5555555555
74,74.7,49.37777777777777,62.04,3504708.888888889
75,75.48,49.37333333333333,62.42555555555556,3537820.0
76,76.26,49.35666666666666,62.806666666666665,3567433.3333333335
77,77.81,49.256666666666675,63.53555555555556,3640804.4444444445
78,78.59,49.31444444444445,63.954444444444434,3678128.888888889
79,79.37,49.35333333333333,64.36000000000001,3716100.0
80,80.93,49.48444444444445,65.20555555555555,3787785.5555555555
81,81.7,49.54333333333333,65.62333333333332,3817845.5555555555
82,82.48,49.462222222222216,65.97111111111111,3856488.888888889
83,84.04,49.492222222222225,66.76444444444445,3930101.111111111
84,84.82,49.51,67.16222222222221,3961680.0
85,85.6,49.462222222222216,67.53,4003121.111111111
86,86.37,49.37777777777777,67.87666666666667,4038633.3333333335
87,87.15,49.54444444444445,68.34777777777778,4074365.5555555555
88,88.71,49.52111111111111,69.11333333333333,4146308.888888889
89,89.49,49.62777777777779,69.55666666666666,4179542.222222222
90,90.26,49.60555555555556,69.93555555555555,4213737.777777778
91,91.82,49.57333333333333,70.69555555555556,4280958.888888889
92,92.6,49.77777777777778,71.18666666666667,4317278.888888889
93,93.38,49.845555555555556,71.61111111111111,4356040.0
94,94.93,49.68666666666667,72.30777777777777,4422598.888888889
95,95.71,49.59888888888889,72.65444444444444,4459981.111111111
96,96.49,49.70555555555555,73.09666666666665,4492320.0
97,98.05,49.69666666666666,73.87333333333332,4558638.888888889
98,98.82,52.30222222222223,75.5622222222222,4594493.333333333
99,99.6,49.97222222222222,74.78666666666666,4623408.888888889
