,alpha_in,alpha_out,alpha_inout,Power [nW]
53,53.95,47.82,50.88444444444445,175958.66666666666
54,54.99,47.998888888888885,51.489999999999995,179730.88888888888
55,56.03,47.84,51.93333333333333,182767.22222222222
56,57.07,47.96666666666667,52.51666666666667,186366.66666666666
57,58.099999999999994,48.10222222222222,53.10333333333334,188956.66666666666
58,58.93,47.98888888888889,53.45777777777778,191417.33333333334
59,59.760000000000005,47.86,53.80777777777777,193794.77777777778
60,60.59,48.034444444444446,54.30888888888889,196693.88888888888
61,61.419999999999995,47.92222222222223,54.66888888888889,199835.44444444444
62,62.25,48.35555555555556,55.30444444444444,201871.55555555556
63,63.29,48.14222222222222,55.717777777777776,204382.66666666666
64,64.33,48.28888888888889,56.30888888888889,207866.44444444444
65,65.37,48.33777777777778,56.85111111111111,211141.11111111112
66,66.4,48.373333333333335,57.38777777777778,214681.22222222222
67,67.44,48.48111111111112,57.95777777777778,217541.33333333334
68,68.47,48.42555555555556,58.45000000000001,220749.88888888888
69,69.51,48.51222222222222,59.01111111111111,223842.11111111112
70,70.55,48.327777777777776,59.44111111111111,227480.11111111112
71,71.59,48.53,60.06333333333334,230123.11111111112
72,72.63,48.44888888888889,60.54,233618.11111111112
73,73.67,48.60444444444445,61.13444444444445,236087.11111111112
74,74.7,48.72666666666666,61.71333333333334,239659.66666666666
75,75.74,48.724444444444444,62.23222222222223,242884.66666666666
76,76.78,48.68,62.728888888888896,245897.11111111112
77,77.82,48.59888888888889,63.208888888888886,248956.55555555556
78,78.85,48.73888888888889,63.794444444444444,251968.66666666666
79,79.89,48.668888888888894,64.28,255533.88888888888
80,80.93,48.84111111111112,64.88222222222223,259032.0
81,81.97,48.83444444444444,65.4011111111111,261048.0
82,83.0,48.68222222222222,65.84111111111112,264375.0
83,83.83,48.77111111111111,66.30000000000001,267354.1111111111
84,84.66,48.794444444444444,66.72777777777779,269635.1111111111
85,85.49,48.965555555555554,67.22666666666666,272347.3333333333
86,86.32,49.294444444444444,67.80666666666667,274660.44444444444
87,87.15,49.193333333333335,68.17333333333333,277286.6666666667
88,88.19,49.24555555555556,68.71777777777777,280029.55555555556
89,89.23,49.14111111111111,69.18555555555557,283023.1111111111
90,90.27,49.41444444444444,69.83999999999999,286586.6666666667
91,91.3,49.37333333333333,70.33666666666666,289518.3333333333
92,92.34,49.4,70.87222222222222,292260.55555555556
93,93.38,49.242222222222225,71.3111111111111,295269.3333333333
94,94.42,49.288888888888884,71.85222222222222,298281.3333333333
95,95.45,49.416666666666664,72.43444444444444,301184.77777777775
96,96.49,48.44777777777778,72.47,304146.3333333333
97,97.53,50.42666666666667,73.97888888888889,306892.8888888889
98,98.57,46.242222222222225,72.40444444444444,309385.55555555556
99,99.6,53.48888888888889,76.54666666666667,312643.55555555556
