,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,Power [nW]
69,69.51,47.72777777777778,58.61888888888888,51.67777777777778,61913.275799999996
70,70.55,47.94444444444444,59.24888888888889,52.199999999999996,63125.6682
71,71.59,47.76777777777778,59.67666666666667,52.534444444444446,63683.883599999994
72,72.63,47.846666666666664,60.23555555555556,52.96888888888889,64361.0004
73,73.67,47.77111111111111,60.71777777777777,53.343333333333334,65438.43660000001
74,74.7,47.99666666666667,61.349999999999994,53.88,66472.38000000002
75,75.74,47.77333333333334,61.75444444444444,54.19,66948.363
76,76.78,48.041111111111114,62.410000000000004,54.72555555555555,68105.451
77,77.82,47.99444444444444,62.906666666666666,55.12888888888889,68972.655
78,78.85,48.068888888888885,63.458888888888886,55.565555555555555,69714.807
79,79.89,48.25,64.07111111111112,56.08222222222222,70432.7544
80,80.93,48.26222222222222,64.59444444444445,56.49777777777777,71310.1788
81,81.81,48.27444444444444,65.04222222222221,56.86333333333333,71944.39439999999
82,82.7,48.528888888888886,65.61777777777777,57.33222222222222,72683.9658
83,83.59,48.662222222222226,66.12666666666667,57.76444444444444,73567.83660000001
84,84.48,48.47666666666666,66.48111111111112,58.03555555555555,74297.2896
85,85.38,48.39333333333334,66.88444444444445,58.34333333333333,74924.7324
86,86.27,48.56666666666666,67.41666666666667,58.78333333333333,75851.1984
87,87.15,48.54999999999999,67.85,59.128888888888895,76739.6592
88,88.19,48.69444444444444,68.44,59.6188888888889,77406.8412
89,89.23,48.48111111111112,68.85333333333332,59.93444444444444,78325.82040000001
90,90.27,48.84888888888889,69.55666666666666,60.53666666666667,78955.20120000001
91,91.3,48.59777777777778,69.94999999999999,60.82888888888888,80006.40299999999
92,92.34,48.846666666666664,70.59555555555556,61.36,80829.80820000001
93,93.38,49.19888888888889,71.28888888888889,61.94555555555556,81605.66100000001
94,94.41,48.87222222222223,71.64111111111112,62.199999999999996,82427.628
95,95.45,51.68666666666667,73.57111111111111,64.02111111111111,83590.479
96,96.49,46.94888888888889,71.72,62.06666666666667,84075.846
97,97.53,40.292222222222215,68.91111111111111,59.161111111111104,84420.23879999999
98,98.57,54.23777777777778,76.40333333333332,66.55222222222223,86342.031
99,99.6,47.035555555555554,73.31888888888889,63.35888888888889,86386.758
