,alpha_in,alpha_out,alpha_inout,Power [nW]
50,50.84,48.81777777777778,49.827777777777776,1114311.111111111
51,51.88,48.71555555555556,50.29444444444445,1135434.4444444445
52,52.91,48.68222222222222,50.79888888888889,1158118.888888889
53,53.95,48.896666666666675,51.42333333333334,1182085.5555555555
54,54.99,48.89333333333333,51.940000000000005,1206770.0
55,56.03,48.90555555555556,52.464444444444446,1225820.0
56,57.059999999999995,48.815555555555555,52.93888888888889,1249965.5555555555
57,58.099999999999994,48.87222222222223,53.486666666666665,1270914.4444444445
58,59.14,48.81777777777778,53.97666666666666,1292333.3333333333
59,60.18,48.876666666666665,54.525555555555556,1315798.888888889
60,60.86999999999999,48.89,54.88,1329652.2222222222
61,61.559999999999995,49.02333333333334,55.29222222222222,1344978.888888889
62,62.25,48.96333333333333,55.607777777777784,1358252.2222222222
63,63.29,49.07111111111111,56.18222222222222,1382597.7777777778
64,64.33,49.19333333333333,56.76,1404016.6666666667
65,65.36,49.06666666666667,57.21666666666667,1425286.6666666667
66,66.4,49.06222222222222,57.73111111111112,1448411.111111111
67,67.44,49.12,58.28222222222222,1471436.6666666667
68,68.48,49.10444444444445,58.791111111111114,1491596.6666666667
69,69.51,49.19,59.353333333333325,1514658.888888889
70,70.55,49.02777777777778,59.791111111111114,1536485.5555555555
71,71.59,49.208888888888886,60.40111111111111,1556840.0
72,72.63,49.278888888888886,60.95222222222222,1580085.5555555555
73,73.66,49.25111111111111,61.45777777777778,1604822.2222222222
74,74.7,49.150000000000006,61.92555555555555,1623856.6666666667
75,75.74,49.22555555555555,62.481111111111105,1648735.5555555555
76,76.78,49.37,63.07444444444444,1670454.4444444445
77,77.81,49.14666666666667,63.48111111111112,1691735.5555555555
78,78.85,49.32,64.08666666666666,1712321.111111111
79,79.89,49.285555555555554,64.58777777777779,1734783.3333333333
80,80.93,49.306666666666665,65.11555555555555,1757433.3333333333
81,81.96,49.40555555555555,65.68555555555555,1778546.6666666667
82,83.0,49.39555555555555,66.19888888888889,1803724.4444444445
83,84.04,49.30777777777777,66.67555555555555,1823260.0
84,85.08,49.44,67.25777777777779,1846573.3333333333
85,85.77,49.55222222222223,67.65888888888888,1860846.6666666667
86,86.46,49.336666666666666,67.89777777777778,1875085.5555555555
87,87.15,49.59,68.37,1888307.7777777778
88,88.19,49.44777777777777,68.81888888888889,1910347.7777777778
89,89.23,49.489999999999995,69.35888888888888,1934878.888888889
90,90.26,49.48111111111111,69.87222222222222,1955567.7777777778
91,91.3,49.63,70.46444444444445,1977466.6666666667
92,92.34,49.63111111111111,70.98555555555555,1999412.2222222222
93,93.38,49.66444444444445,71.52111111111111,2020861.111111111
94,94.41,49.61666666666667,72.01444444444445,2042477.7777777778
95,95.45,49.603333333333325,72.52666666666667,2064514.4444444445
96,96.49,49.690000000000005,73.08888888888889,2086564.4444444445
97,97.53,49.724444444444444,73.62666666666667,2108158.888888889
98,98.56,49.54222222222222,74.05333333333333,2129287.777777778
99,99.6,49.803333333333335,74.69999999999999,2148833.3333333335
