BW,PERCENTAGE,Area [um^2],Power [nW]
14,50,222.049,6197.9900
14,57,222.049,7386.5100
14,64,222.049,8575.0300
14,71,222.049,9763.5600
14,79,222.049,10952.1000
14,86,222.049,12140.6000
14,93,222.049,13329.1000
14,100,222.049,14517.6000
15,7,236.731,5050.1900
15,13,236.731,5050.1900
15,20,236.731,5050.1900
15,27,236.731,5050.1900
15,33,236.731,5050.1900
15,40,236.731,5050.1900
15,47,236.731,5050.1900
15,53,236.731,6238.6800
15,60,236.731,7427.1700
15,67,236.731,8615.6600
15,73,236.731,9804.1500
15,80,236.731,10992.6000
15,87,236.731,12181.1000
15,93,236.731,13369.6000
15,100,236.731,14558.1000
16,6,251.766,5279.7300
16,12,251.766,5279.7300
16,19,251.766,5279.7300
16,25,251.766,5279.7300
16,31,251.766,5279.7300
16,38,251.766,5279.7300
16,44,251.766,5279.7300
16,50,251.766,5279.7300
16,56,251.766,6468.1900
16,62,251.766,7656.6500
16,69,251.766,8845.1100
16,75,251.766,10033.6000
16,81,251.766,11222.0000
16,88,251.766,12410.5000
16,94,251.766,13599.0000
16,100,251.766,14787.4000
17,6,265.145,5471.4000
17,12,265.145,5471.4000
17,18,265.145,5471.4000
17,24,265.145,5471.4000
17,29,265.145,5471.4000
17,35,265.145,5471.4000
17,41,265.145,5471.4000
17,47,265.145,5471.4000
17,53,265.145,5471.4000
17,59,265.145,6659.8500
17,65,265.145,7848.2900
17,71,265.145,9036.7400
17,76,265.145,10225.2000
17,82,265.145,11413.6000
17,88,265.145,12602.1000
17,94,265.145,13790.5000
17,100,265.145,14979.0000
18,6,278.700,5737.5500
18,11,278.700,5737.5500
18,17,278.700,5737.5500
18,22,278.700,5737.5500
18,28,278.700,5737.5500
18,33,278.700,5737.5500
18,39,278.700,5737.5500
18,44,278.700,5737.5500
18,50,278.700,5737.5500
18,56,278.700,5737.5500
18,61,278.700,6925.9800
18,67,278.700,8114.4100
18,72,278.700,9302.8400
18,78,278.700,10491.3000
18,83,278.700,11679.7000
18,89,278.700,12868.1000
18,94,278.700,14056.6000
18,100,278.700,15245.0000
19,5,293.559,5872.4400
19,11,293.559,5872.4400
19,16,293.559,5872.4400
19,21,293.559,5872.4400
19,26,293.559,5872.4400
19,32,293.559,5872.4400
19,37,293.559,5872.4400
19,42,293.559,5872.4400
19,47,293.559,5872.4400
19,53,293.559,5872.4400
19,58,293.559,5872.4400
19,63,293.559,7060.8400
19,68,293.559,8249.2500
19,74,293.559,9437.6500
19,79,293.559,10626.1000
19,84,293.559,11814.5000
19,89,293.559,13002.9000
19,95,293.559,14191.3000
19,100,293.559,15379.7000
20,5,308.594,6121.8700
20,10,308.594,6121.8700
20,15,308.594,6121.8700
20,20,308.594,6121.8700
20,25,308.594,6121.8700
20,30,308.594,6121.8700
20,35,308.594,6121.8700
20,40,308.594,6121.8700
20,45,308.594,6121.8700
20,50,308.594,6121.8700
20,55,308.594,6121.8700
20,60,308.594,6121.8700
20,65,308.594,7310.2500
20,70,308.594,8498.6400
20,75,308.594,9687.0200
20,80,308.594,10875.4000
20,85,308.594,12063.8000
20,90,308.594,13252.2000
20,95,308.594,14440.6000
20,100,308.594,15628.9000
21,5,322.801,6425.7400
21,10,322.801,6425.7400
21,14,322.801,6425.7400
21,19,322.801,6425.7400
21,24,322.801,6425.7400
21,29,322.801,6425.7400
21,33,322.801,6425.7400
21,38,322.801,6425.7400
21,43,322.801,6425.7400
21,48,322.801,6425.7400
21,52,322.801,6425.7400
21,57,322.801,6425.7400
21,62,322.801,6425.7400
21,67,322.801,7703.2400
21,71,322.801,8980.7300
21,76,322.801,10254.6000
21,81,322.801,11528.5000
21,86,322.801,12802.3000
21,90,322.801,14076.2000
21,95,322.801,15350.0000
21,100,322.801,16623.9000
22,5,335.528,6598.9700
22,9,335.528,6598.9700
22,14,335.528,6598.9700
22,18,335.528,6598.9700
22,23,335.528,6598.9700
22,27,335.528,6598.9700
22,32,335.528,6598.9700
22,36,335.528,6598.9700
22,41,335.528,6598.9700
22,45,335.528,6598.9700
22,50,335.528,6598.9700
22,55,335.528,6598.9700
22,59,335.528,6598.9700
22,64,335.528,6598.9700
22,68,335.528,7787.3300
22,73,335.528,8975.7000
22,77,335.528,10164.1000
22,82,335.528,11352.4000
22,86,335.528,12540.8000
22,91,335.528,13729.2000
22,95,335.528,14917.5000
22,100,335.528,16105.9000
23,4,350.563,6828.5400
23,9,350.563,6828.5400
23,13,350.563,6828.5400
23,17,350.563,6828.5400
23,22,350.563,6828.5400
23,26,350.563,6828.5400
23,30,350.563,6828.5400
23,35,350.563,6828.5400
23,39,350.563,6828.5400
23,43,350.563,6828.5400
23,48,350.563,6828.5400
23,52,350.563,6828.5400
23,57,350.563,6828.5400
23,61,350.563,6828.5400
23,65,350.563,6828.5400
23,70,350.563,8016.9000
23,74,350.563,9205.2600
23,78,350.563,10393.6000
23,83,350.563,11582.0000
23,87,350.563,12770.3000
23,91,350.563,13958.7000
23,96,350.563,15147.1000
23,100,350.563,16335.4000
24,4,365.422,6962.7500
24,8,365.422,6962.7500
24,12,365.422,6962.7500
24,17,365.422,6962.7500
24,21,365.422,6962.7500
24,25,365.422,6962.7500
24,29,365.422,6962.7500
24,33,365.422,6962.7500
24,38,365.422,6962.7500
24,42,365.422,6962.7500
24,46,365.422,6962.7500
24,50,365.422,6962.7500
24,54,365.422,6962.7500
24,58,365.422,6962.7500
24,63,365.422,6962.7500
24,67,365.422,6962.7500
24,71,365.422,8151.1100
24,75,365.422,9339.4800
24,79,365.422,10527.8000
24,83,365.422,11716.2000
24,88,365.422,12904.6000
24,92,365.422,14092.9000
24,96,365.422,15281.3000
24,100,365.422,16469.7000
25,4,378.448,5815.9600
25,8,378.448,5815.9600
25,12,378.448,5815.9600
25,16,378.448,5815.9600
25,20,378.448,5815.9600
25,24,378.448,5815.9600
25,28,378.448,5815.9600
25,32,378.448,5815.9600
25,36,378.448,5815.9600
25,40,378.448,5815.9600
25,44,378.448,5815.9600
25,48,378.448,5815.9600
25,52,378.448,5815.9600
25,56,378.448,5815.9600
25,60,378.448,5815.9600
25,64,378.448,5815.9600
25,68,378.448,5815.9600
25,72,378.448,7092.9200
25,76,378.448,8369.8900
25,80,378.448,9646.8500
25,84,378.448,10923.8000
25,88,378.448,12200.8000
25,92,378.448,13477.7000
25,96,378.448,14754.7000
25,100,378.448,16031.7000
26,4,391.949,5266.3400
26,8,391.949,5266.3400
26,12,391.949,5266.3400
26,15,391.949,5266.3400
26,19,391.949,5266.3400
26,23,391.949,5266.3400
26,27,391.949,5266.3400
26,31,391.949,5266.3400
26,35,391.949,5266.3400
26,38,391.949,5266.3400
26,42,391.949,5266.3400
26,46,391.949,5266.3400
26,50,391.949,5266.3400
26,54,391.949,5266.3400
26,58,391.949,5266.3400
26,62,391.949,5266.3400
26,65,391.949,5266.3400
26,69,391.949,5266.3400
26,73,391.949,6460.6800
26,77,391.949,7655.0300
26,81,391.949,8849.3700
26,85,391.949,10043.7000
26,88,391.949,11238.1000
26,92,391.949,12432.4000
26,96,391.949,13626.7000
26,100,391.949,14821.1000
27,4,406.862,6639.0900
27,7,406.862,6639.0900
27,11,406.862,6639.0900
27,15,406.862,6639.0900
27,19,406.862,6639.0900
27,22,406.862,6639.0900
27,26,406.862,6639.0900
27,30,406.862,6639.0900
27,33,406.862,6639.0900
27,37,406.862,6639.0900
27,41,406.862,6639.0900
27,44,406.862,6639.0900
27,48,406.862,6639.0900
27,52,406.862,6639.0900
27,56,406.862,6639.0900
27,59,406.862,6639.0900
27,63,406.862,6639.0900
27,67,406.862,6639.0900
27,70,406.862,6639.0900
27,74,406.862,7833.3200
27,78,406.862,9027.5500
27,81,406.862,10221.8000
27,85,406.862,11416.0000
27,89,406.862,12610.2000
27,93,406.862,13804.5000
27,96,406.862,14998.7000
27,100,406.862,16192.9000
28,4,420.363,5546.9100
28,7,420.363,5546.9100
28,11,420.363,5546.9100
28,14,420.363,5546.9100
28,18,420.363,5546.9100
28,21,420.363,5546.9100
28,25,420.363,5546.9100
28,29,420.363,5546.9100
28,32,420.363,5546.9100
28,36,420.363,5546.9100
28,39,420.363,5546.9100
28,43,420.363,5546.9100
28,46,420.363,5546.9100
28,50,420.363,5546.9100
28,54,420.363,5546.9100
28,57,420.363,5546.9100
28,61,420.363,5546.9100
28,64,420.363,5546.9100
28,68,420.363,5546.9100
28,71,420.363,5546.9100
28,75,420.363,6741.2600
28,79,420.363,7935.6000
28,82,420.363,9129.9500
28,86,420.363,10324.3000
28,89,420.363,11518.6000
28,93,420.363,12713.0000
28,96,420.363,13907.3000
28,100,420.363,15101.7000
29,3,434.570,5687.0100
29,7,434.570,5687.0100
29,10,434.570,5687.0100
29,14,434.570,5687.0100
29,17,434.570,5687.0100
29,21,434.570,5687.0100
29,24,434.570,5687.0100
29,28,434.570,5687.0100
29,31,434.570,5687.0100
29,34,434.570,5687.0100
29,38,434.570,5687.0100
29,41,434.570,5687.0100
29,45,434.570,5687.0100
29,48,434.570,5687.0100
29,52,434.570,5687.0100
29,55,434.570,5687.0100
29,59,434.570,5687.0100
29,62,434.570,5687.0100
29,66,434.570,5687.0100
29,69,434.570,5687.0100
29,72,434.570,5687.0100
29,76,434.570,6881.3600
29,79,434.570,8075.7100
29,83,434.570,9270.0600
29,86,434.570,10464.4000
29,90,434.570,11658.8000
29,93,434.570,12853.1000
29,97,434.570,14047.5000
29,100,434.570,15241.8000
30,3,451.247,7484.5800
30,7,451.247,7484.5800
30,10,451.247,7484.5800
30,13,451.247,7484.5800
30,17,451.247,7484.5800
30,20,451.247,7484.5800
30,23,451.247,7484.5800
30,27,451.247,7484.5800
30,30,451.247,7484.5800
30,33,451.247,7484.5800
30,37,451.247,7484.5800
30,40,451.247,7484.5800
30,43,451.247,7484.5800
30,47,451.247,7484.5800
30,50,451.247,7484.5800
30,53,451.247,7484.5800
30,57,451.247,7484.5800
30,60,451.247,7484.5800
30,63,451.247,7484.5800
30,67,451.247,7484.5800
30,70,451.247,7484.5800
30,73,451.247,7484.5800
30,77,451.247,8838.6500
30,80,451.247,10192.7000
30,83,451.247,11546.8000
30,87,451.247,12900.9000
30,90,451.247,14255.0000
30,93,451.247,15605.7000
30,97,451.247,16959.8000
30,100,451.247,18313.8000
31,3,465.454,7660.2400
31,6,465.454,7660.2400
31,10,465.454,7660.2400
31,13,465.454,7660.2400
31,16,465.454,7660.2400
31,19,465.454,7660.2400
31,23,465.454,7660.2400
31,26,465.454,7660.2400
31,29,465.454,7660.2400
31,32,465.454,7660.2400
31,35,465.454,7660.2400
31,39,465.454,7660.2400
31,42,465.454,7660.2400
31,45,465.454,7660.2400
31,48,465.454,7660.2400
31,52,465.454,7660.2400
31,55,465.454,7660.2400
31,58,465.454,7660.2400
31,61,465.454,7660.2400
31,65,465.454,7660.2400
31,68,465.454,7660.2400
31,71,465.454,7660.2400
31,74,465.454,7660.2400
31,77,465.454,9010.9400
31,81,465.454,10365.0000
31,84,465.454,11715.7000
31,87,465.454,13066.4000
31,90,465.454,14420.5000
31,94,465.454,15774.5000
31,97,465.454,17128.6000
31,100,465.454,18482.7000
32,3,478.955,7022.6200
32,6,478.955,7022.6200
32,9,478.955,7022.6200
32,12,478.955,7022.6200
32,16,478.955,7022.6200
32,19,478.955,7022.6200
32,22,478.955,7022.6200
32,25,478.955,7022.6200
32,28,478.955,7022.6200
32,31,478.955,7022.6200
32,34,478.955,7022.6200
32,38,478.955,7022.6200
32,41,478.955,7022.6200
32,44,478.955,7022.6200
32,47,478.955,7022.6200
32,50,478.955,7022.6200
32,53,478.955,7022.6200
32,56,478.955,7022.6200
32,59,478.955,7022.6200
32,62,478.955,7022.6200
32,66,478.955,7022.6200
32,69,478.955,7022.6200
32,72,478.955,7022.6200
32,75,478.955,7022.6200
32,78,478.955,8299.6000
32,81,478.955,9576.5800
32,84,478.955,10853.6000
32,88,478.955,12130.5000
32,91,478.955,13407.5000
32,94,478.955,14684.5000
32,97,478.955,15961.5000
32,100,478.955,17238.5000
