technology [nm],latency [ns],datawidth,num_pipeline_stages,toggling activity [%],action,energy [fJ],area [um^2]
45,10,20,0,100,add,112.1320,0
45,10,22,0,5,add,10.1291,0
45,10,22,0,9,add,22.5723,0
45,10,22,0,14,add,30.1806,0
45,10,22,0,18,add,40.9551,0
45,10,22,0,23,add,52.5301,0
45,10,22,0,27,add,63.4131,0
45,10,22,0,32,add,75.0400,0
45,10,22,0,36,add,85.6617,0
45,10,22,0,41,add,97.5782,0
45,10,22,0,45,add,105.6460,0
45,10,22,0,50,add,120.2970,0
45,10,22,0,55,add,131.5610,0
45,10,22,0,59,add,130.1960,0
45,10,22,0,64,add,125.4060,0
45,10,22,0,68,add,124.2600,0
45,10,22,0,73,add,126.1240,0
45,10,22,0,77,add,112.8840,0
45,10,22,0,82,add,115.2890,0
45,10,22,0,86,add,102.0500,0
45,10,22,0,91,add,107.0240,0
45,10,22,0,95,add,99.1791,0
45,10,22,0,100,add,124.5290,0
45,10,24,0,4,add,9.7646,0
45,10,24,0,8,add,23.3841,0
45,10,24,0,12,add,30.9356,0
45,10,24,0,17,add,42.1793,0
45,10,24,0,21,add,54.4001,0
45,10,24,0,25,add,63.5827,0
45,10,24,0,29,add,77.5958,0
45,10,24,0,33,add,85.1472,0
45,10,24,0,38,add,96.5702,0
45,10,24,0,42,add,108.7030,0
45,10,24,0,46,add,117.4420,0
45,10,24,0,50,add,132.1020,0
45,10,24,0,54,add,142.4510,0
45,10,24,0,58,add,137.1570,0
45,10,24,0,63,add,138.0050,0
45,10,24,0,67,add,146.9670,0
45,10,24,0,71,add,136.3130,0
45,10,24,0,75,add,115.9750,0
45,10,24,0,79,add,120.0650,0
45,10,24,0,83,add,120.5490,0
45,10,24,0,88,add,112.9030,0
45,10,24,0,92,add,104.3280,0
45,10,24,0,96,add,100.0600,0
45,10,24,0,100,add,136.9260,0
45,10,26,0,4,add,9.4177,0
45,10,26,0,8,add,19.3355,0
45,10,26,0,12,add,31.7940,0
45,10,26,0,15,add,43.0569,0
45,10,26,0,19,add,55.8872,0
45,10,26,0,23,add,63.4746,0
45,10,26,0,27,add,75.2817,0
45,10,26,0,31,add,87.7748,0
45,10,26,0,35,add,95.3703,0
45,10,26,0,38,add,107.0150,0
45,10,26,0,42,add,119.5860,0
45,10,26,0,46,add,129.1810,0
45,10,26,0,50,add,143.9070,0
45,10,26,0,54,add,153.4370,0
45,10,26,0,58,add,154.3340,0
45,10,26,0,62,add,152.1120,0
45,10,26,0,65,add,147.0930,0
45,10,26,0,69,add,147.8530,0
45,10,26,0,73,add,143.5280,0
45,10,26,0,77,add,132.2860,0
45,10,26,0,81,add,131.4860,0
45,10,26,0,85,add,129.6820,0
45,10,26,0,88,add,121.3140,0
45,10,26,0,92,add,115.7680,0
45,10,26,0,96,add,111.8240,0
45,10,26,0,100,add,149.3230,0
45,10,28,0,4,add,9.0886,0
45,10,28,0,7,add,19.6868,0
45,10,28,0,11,add,32.5893,0
45,10,28,0,14,add,41.8913,0
45,10,28,0,18,add,52.1972,0
45,10,28,0,21,add,65.1960,0
45,10,28,0,25,add,74.9631,0
45,10,28,0,29,add,84.9211,0
45,10,28,0,32,add,97.8661,0
45,10,28,0,36,add,107.9420,0
45,10,28,0,39,add,117.5970,0
45,10,28,0,43,add,130.4720,0
45,10,28,0,46,add,141.0180,0
45,10,28,0,50,add,155.7120,0
45,10,28,0,54,add,163.8030,0
45,10,28,0,57,add,172.1210,0
45,10,28,0,61,add,169.1950,0
45,10,28,0,64,add,156.2270,0
45,10,28,0,68,add,168.6990,0
45,10,28,0,71,add,162.5140,0
45,10,28,0,75,add,136.9450,0
45,10,28,0,79,add,148.4240,0
45,10,28,0,82,add,141.3830,0
45,10,28,0,86,add,149.1970,0
45,10,28,0,89,add,138.6640,0
45,10,28,0,93,add,133.7040,0
45,10,28,0,96,add,110.4580,0
45,10,28,0,100,add,161.7200,0
45,10,30,0,3,add,8.7769,0
45,10,30,0,7,add,20.0522,0
45,10,30,0,10,add,33.5520,0
45,10,30,0,13,add,40.7442,0
45,10,30,0,17,add,53.4714,0
45,10,30,0,20,add,66.8984,0
45,10,30,0,23,add,74.4420,0
45,10,30,0,27,add,87.1042,0
45,10,30,0,30,add,100.2820,0
45,10,30,0,33,add,107.9540,0
45,10,30,0,37,add,120.7070,0
45,10,30,0,40,add,133.8740,0
45,10,30,0,43,add,141.3990,0
45,10,30,0,47,add,152.8190,0
45,10,30,0,50,add,167.5170,0
45,10,30,0,53,add,185.7870,0
45,10,30,0,57,add,180.4800,0
45,10,30,0,60,add,181.7560,0
45,10,30,0,63,add,172.2400,0
45,10,30,0,67,add,187.5630,0
45,10,30,0,70,add,165.0040,0
45,10,30,0,73,add,169.9070,0
45,10,30,0,77,add,151.7860,0
45,10,30,0,80,add,146.6160,0
45,10,30,0,83,add,153.3170,0
45,10,30,0,87,add,147.4370,0
45,10,30,0,90,add,142.7440,0
45,10,30,0,93,add,149.6730,0
45,10,30,0,97,add,122.2030,0
45,10,30,0,100,add,174.1170,0
45,10,32,0,3,add,8.4826,0
45,10,32,0,6,add,20.4376,0
45,10,32,0,9,add,34.3035,0
45,10,32,0,12,add,41.9253,0
45,10,32,0,16,add,54.8029,0
45,10,32,0,19,add,68.4095,0
45,10,32,0,22,add,76.2379,0
45,10,32,0,25,add,86.3435,0
45,10,32,0,28,add,96.5537,0
45,10,32,0,31,add,110.6420,0
45,10,32,0,34,add,117.7760,0
45,10,32,0,38,add,131.1170,0
45,10,32,0,41,add,144.7580,0
45,10,32,0,44,add,152.4600,0
45,10,32,0,47,add,164.6400,0
45,10,32,0,50,add,179.3220,0
45,10,32,0,53,add,197.5240,0
45,10,32,0,56,add,190.4940,0
45,10,32,0,59,add,185.7350,0
45,10,32,0,62,add,188.1830,0
45,10,32,0,66,add,185.5060,0
45,10,32,0,69,add,180.7740,0
45,10,32,0,72,add,180.0370,0
45,10,32,0,75,add,157.9140,0
45,10,32,0,78,add,179.3080,0
45,10,32,0,81,add,172.1050,0
45,10,32,0,84,add,159.7240,0
45,10,32,0,88,add,154.0830,0
45,10,32,0,91,add,158.0700,0
45,10,32,0,94,add,151.6180,0
45,10,32,0,97,add,118.5250,0
45,10,32,0,100,add,186.5140,0
45,10,34,0,3,add,8.2057,0
45,10,34,0,6,add,20.8459,0
45,10,34,0,9,add,35.1284,0
45,10,34,0,12,add,42.7814,0
45,10,34,0,15,add,53.6217,0
45,10,34,0,18,add,63.4604,0
45,10,34,0,21,add,77.9443,0
45,10,34,0,24,add,85.3705,0
45,10,34,0,26,add,98.8654,0
45,10,34,0,29,add,112.9160,0
45,10,34,0,32,add,120.7720,0
45,10,34,0,35,add,130.3790,0
45,10,34,0,38,add,141.4840,0
45,10,34,0,41,add,155.7440,0
45,10,34,0,44,add,163.5360,0
45,10,34,0,47,add,176.3900,0
45,10,34,0,50,add,191.1280,0
45,10,34,0,53,add,209.3520,0
45,10,34,0,56,add,199.0750,0
45,10,34,0,59,add,204.7330,0
45,10,34,0,62,add,205.0200,0
45,10,34,0,65,add,194.3330,0
45,10,34,0,68,add,218.2520,0
45,10,34,0,71,add,195.1360,0
45,10,34,0,74,add,195.5330,0
45,10,34,0,76,add,186.3790,0
45,10,34,0,79,add,161.8120,0
45,10,34,0,82,add,177.0560,0
45,10,34,0,85,add,178.2010,0
45,10,34,0,88,add,175.2140,0
45,10,34,0,91,add,160.4690,0
45,10,34,0,94,add,165.4930,0
45,10,34,0,97,add,130.2490,0
45,10,34,0,100,add,198.9110,0
45,10,36,0,3,add,7.9297,0
45,10,36,0,6,add,21.2832,0
45,10,36,0,8,add,35.9544,0
45,10,36,0,11,add,43.5963,0
45,10,36,0,14,add,52.4560,0
45,10,36,0,17,add,64.7636,0
45,10,36,0,19,add,79.4378,0
45,10,36,0,22,add,87.2271,0
45,10,36,0,25,add,97.7239,0
45,10,36,0,28,add,108.2380,0
45,10,36,0,31,add,123.1900,0
45,10,36,0,33,add,130.7620,0
45,10,36,0,36,add,142.9280,0
45,10,36,0,39,add,152.1050,0
45,10,36,0,42,add,166.9470,0
45,10,36,0,44,add,174.4540,0
45,10,36,0,47,add,188.2210,0
45,10,36,0,50,add,202.9330,0
45,10,36,0,53,add,220.5390,0
45,10,36,0,56,add,222.0170,0
45,10,36,0,58,add,211.7700,0
45,10,36,0,61,add,211.3260,0
45,10,36,0,64,add,200.3460,0
45,10,36,0,67,add,228.1590,0
45,10,36,0,69,add,210.3760,0
45,10,36,0,72,add,209.2760,0
45,10,36,0,75,add,178.8840,0
45,10,36,0,78,add,198.8230,0
45,10,36,0,81,add,183.6510,0
45,10,36,0,83,add,186.0860,0
45,10,36,0,86,add,186.3160,0
45,10,36,0,89,add,176.8900,0
45,10,36,0,92,add,161.6910,0
45,10,36,0,94,add,179.3210,0
45,10,36,0,97,add,124.1840,0
45,10,36,0,100,add,211.3070,0
45,10,38,0,3,add,8.0435,0
45,10,38,0,5,add,21.8144,0
45,10,38,0,8,add,36.8473,0
45,10,38,0,11,add,44.4494,0
45,10,38,0,13,add,51.8105,0
45,10,38,0,16,add,66.2879,0
45,10,38,0,18,add,81.1334,0
45,10,38,0,21,add,88.8705,0
45,10,38,0,24,add,96.1992,0
45,10,38,0,26,add,110.7280,0
45,10,38,0,29,add,125.7320,0
45,10,38,0,32,add,133.3490,0
45,10,38,0,34,add,140.5880,0
45,10,38,0,37,add,155.4130,0
45,10,38,0,39,add,170.2470,0
45,10,38,0,42,add,177.8970,0
45,10,38,0,45,add,185.2160,0
45,10,38,0,47,add,199.7670,0
45,10,38,0,50,add,214.7380,0
45,10,38,0,53,add,246.5650,0
45,10,38,0,55,add,230.8820,0
45,10,38,0,58,add,234.5650,0
45,10,38,0,61,add,231.8620,0
45,10,38,0,63,add,234.7110,0
45,10,38,0,66,add,224.8700,0
45,10,38,0,68,add,228.1530,0
45,10,38,0,71,add,218.3070,0
45,10,38,0,74,add,221.3380,0
45,10,38,0,76,add,207.3510,0
45,10,38,0,79,add,211.2550,0
45,10,38,0,82,add,203.6230,0
45,10,38,0,84,add,206.8130,0
45,10,38,0,87,add,192.1050,0
45,10,38,0,89,add,194.2860,0
45,10,38,0,92,add,170.0040,0
45,10,38,0,95,add,191.3650,0
45,10,38,0,97,add,136.0630,0
45,10,38,0,100,add,223.7040,0
45,10,40,0,2,add,8.1926,0
45,10,40,0,5,add,21.6633,0
45,10,40,0,8,add,29.6865,0
45,10,40,0,10,add,45.3220,0
45,10,40,0,12,add,52.9150,0
45,10,40,0,15,add,65.3867,0
45,10,40,0,18,add,74.7534,0
45,10,40,0,20,add,90.4591,0
45,10,40,0,22,add,98.1783,0
45,10,40,0,25,add,109.1040,0
45,10,40,0,28,add,120.0000,0
45,10,40,0,30,add,135.6390,0
45,10,40,0,32,add,143.5630,0
45,10,40,0,35,add,152.8480,0
45,10,40,0,38,add,165.6650,0
45,10,40,0,40,add,181.2140,0
45,10,40,0,42,add,188.8510,0
45,10,40,0,45,add,196.4270,0
45,10,40,0,48,add,211.0100,0
45,10,40,0,50,add,226.5430,0
45,10,40,0,52,add,258.3220,0
45,10,40,0,55,add,240.1390,0
45,10,40,0,58,add,257.6960,0
45,10,40,0,60,add,246.7290,0
45,10,40,0,62,add,238.3620,0
45,10,40,0,65,add,231.7040,0
45,10,40,0,68,add,272.8520,0
45,10,40,0,70,add,223.8940,0
45,10,40,0,72,add,236.8020,0
45,10,40,0,75,add,199.8530,0
45,10,40,0,78,add,217.5860,0
45,10,40,0,80,add,198.9050,0
45,10,40,0,82,add,212.7620,0
45,10,40,0,85,add,208.9320,0
45,10,40,0,88,add,195.2630,0
45,10,40,0,90,add,193.8340,0
45,10,40,0,92,add,188.0650,0
45,10,40,0,95,add,185.3060,0
45,10,40,0,98,add,148.0060,0
45,10,40,0,100,add,236.1010,0
45,10,42,0,2,add,8.1926,0
45,10,42,0,5,add,21.2725,0
45,10,42,0,7,add,30.0361,0
45,10,42,0,10,add,46.0774,0
45,10,42,0,12,add,53.7707,0
45,10,42,0,14,add,64.1852,0
45,10,42,0,17,add,76.0557,0
45,10,42,0,19,add,91.9503,0
45,10,42,0,21,add,99.8245,0
45,10,42,0,24,add,107.0380,0
45,10,42,0,26,add,122.3530,0
45,10,42,0,29,add,129.8880,0
45,10,42,0,31,add,146.0270,0
45,10,42,0,33,add,153.5690,0
45,10,42,0,36,add,165.2710,0
45,10,42,0,38,add,175.9690,0
45,10,42,0,40,add,192.0250,0
45,10,42,0,43,add,199.7680,0
45,10,42,0,45,add,208.2170,0
45,10,42,0,48,add,222.3750,0
45,10,42,0,50,add,238.3480,0
45,10,42,0,52,add,270.1270,0
45,10,42,0,55,add,266.4920,0
45,10,42,0,57,add,265.1840,0
45,10,42,0,60,add,250.6100,0
45,10,42,0,62,add,257.8960,0
45,10,42,0,64,add,240.1380,0
45,10,42,0,67,add,268.7540,0
45,10,42,0,69,add,244.0970,0
45,10,42,0,71,add,250.2920,0
45,10,42,0,74,add,247.9110,0
45,10,42,0,76,add,228.1530,0
45,10,42,0,79,add,228.8300,0
45,10,42,0,81,add,222.5640,0
45,10,42,0,83,add,218.8550,0
45,10,42,0,86,add,230.5100,0
45,10,42,0,88,add,216.5270,0
45,10,42,0,90,add,209.1260,0
45,10,42,0,93,add,205.9690,0
45,10,42,0,95,add,197.1510,0
45,10,42,0,98,add,160.3500,0
45,10,42,0,100,add,248.4980,0
45,10,44,0,2,add,8.1926,0
45,10,44,0,5,add,20.8824,0
45,10,44,0,7,add,30.3916,0
45,10,44,0,9,add,46.9003,0
45,10,44,0,11,add,54.5883,0
45,10,44,0,14,add,63.0603,0
45,10,44,0,16,add,77.4870,0
45,10,44,0,18,add,84.8934,0
45,10,44,0,20,add,101.5040,0
45,10,44,0,23,add,109.1100,0
45,10,44,0,25,add,120.4850,0
45,10,44,0,27,add,131.8450,0
45,10,44,0,30,add,148.2500,0
45,10,44,0,32,add,156.1590,0
45,10,44,0,34,add,163.4980,0
45,10,44,0,36,add,177.9780,0
45,10,44,0,39,add,186.5870,0
45,10,44,0,41,add,202.9210,0
45,10,44,0,43,add,210.6260,0
45,10,44,0,45,add,219.9810,0
45,10,44,0,48,add,233.7400,0
45,10,44,0,50,add,250.1530,0
45,10,44,0,52,add,281.9320,0
45,10,44,0,55,add,276.6020,0
45,10,44,0,57,add,272.6700,0
45,10,44,0,59,add,273.3610,0
45,10,44,0,61,add,264.0800,0
45,10,44,0,64,add,263.1320,0
45,10,44,0,66,add,265.0100,0
45,10,44,0,68,add,260.9580,0
45,10,44,0,70,add,254.0340,0
45,10,44,0,73,add,265.1650,0
45,10,44,0,75,add,220.8230,0
45,10,44,0,77,add,237.0210,0
45,10,44,0,80,add,214.0760,0
45,10,44,0,82,add,242.9650,0
45,10,44,0,84,add,239.4660,0
45,10,44,0,86,add,215.2720,0
45,10,44,0,89,add,215.1400,0
45,10,44,0,91,add,226.2970,0
45,10,44,0,93,add,221.9450,0
45,10,44,0,95,add,209.0460,0
45,10,44,0,98,add,172.7470,0
45,10,44,0,100,add,260.8950,0
45,10,46,0,2,add,8.1926,0
45,10,46,0,4,add,20.5093,0
45,10,46,0,7,add,30.7751,0
45,10,46,0,9,add,47.7556,0
45,10,46,0,11,add,55.3955,0
45,10,46,0,13,add,62.9127,0
45,10,46,0,15,add,77.1162,0
45,10,46,0,17,add,86.0456,0
45,10,46,0,20,add,102.9900,0
45,10,46,0,22,add,110.8340,0
45,10,46,0,24,add,118.3700,0
45,10,46,0,26,add,133.7330,0
45,10,46,0,28,add,141.5170,0
45,10,46,0,30,add,158.5460,0
45,10,46,0,33,add,166.3700,0
45,10,46,0,35,add,175.1510,0
45,10,46,0,37,add,189.8520,0
45,10,46,0,39,add,197.2450,0
45,10,46,0,41,add,213.9060,0
45,10,46,0,43,add,221.6420,0
45,10,46,0,46,add,231.7810,0
45,10,46,0,48,add,245.1050,0
45,10,46,0,50,add,261.9590,0
45,10,46,0,52,add,293.7380,0
45,10,46,0,54,add,286.7610,0
45,10,46,0,57,add,281.7840,0
45,10,46,0,59,add,279.3530,0
45,10,46,0,61,add,288.2950,0
45,10,46,0,63,add,284.8100,0
45,10,46,0,65,add,269.2350,0
45,10,46,0,67,add,313.4480,0
45,10,46,0,70,add,272.9780,0
45,10,46,0,72,add,281.5090,0
45,10,46,0,74,add,274.5020,0
45,10,46,0,76,add,249.1220,0
45,10,46,0,78,add,265.4330,0
45,10,46,0,80,add,235.8840,0
45,10,46,0,83,add,248.4250,0
45,10,46,0,85,add,239.7300,0
45,10,46,0,87,add,236.7790,0
45,10,46,0,89,add,232.4590,0
45,10,46,0,91,add,223.8600,0
45,10,46,0,93,add,238.8310,0
45,10,46,0,96,add,220.9700,0
45,10,46,0,98,add,185.1440,0
45,10,46,0,100,add,273.2920,0
45,10,48,0,2,add,8.1926,0
45,10,48,0,4,add,20.1368,0
45,10,48,0,6,add,31.1606,0
45,10,48,0,8,add,48.5247,0
45,10,48,0,10,add,56.3969,0
45,10,48,0,12,add,63.9047,0
45,10,48,0,15,add,75.8963,0
45,10,48,0,17,add,87.3478,0
45,10,48,0,19,add,104.5070,0
45,10,48,0,21,add,112.5920,0
45,10,48,0,23,add,120.0470,0
45,10,48,0,25,add,131.8650,0
45,10,48,0,27,add,143.7010,0
45,10,48,0,29,add,160.9630,0
45,10,48,0,31,add,168.8530,0
45,10,48,0,33,add,176.3760,0
45,10,48,0,35,add,187.7550,0
45,10,48,0,38,add,200.2120,0
45,10,48,0,40,add,217.4580,0
45,10,48,0,42,add,225.1920,0
45,10,48,0,44,add,232.7520,0
45,10,48,0,46,add,243.7450,0
45,10,48,0,48,add,256.4690,0
45,10,48,0,50,add,273.7640,0
45,10,48,0,52,add,305.5430,0
45,10,48,0,54,add,297.6530,0
45,10,48,0,56,add,291.8640,0
45,10,48,0,58,add,286.3830,0
45,10,48,0,60,add,304.6050,0
45,10,48,0,63,add,288.5410,0
45,10,48,0,65,add,278.3670,0
45,10,48,0,67,add,309.3500,0
45,10,48,0,69,add,276.8960,0
45,10,48,0,71,add,285.2420,0
45,10,48,0,73,add,293.6210,0
45,10,48,0,75,add,241.7920,0
45,10,48,0,77,add,256.4760,0
45,10,48,0,79,add,251.4090,0
45,10,48,0,81,add,264.2110,0
45,10,48,0,83,add,251.6240,0
45,10,48,0,85,add,258.5120,0
45,10,48,0,88,add,236.4440,0
45,10,48,0,90,add,250.2550,0
45,10,48,0,92,add,219.0540,0
45,10,48,0,94,add,232.8650,0
45,10,48,0,96,add,210.4740,0
45,10,48,0,98,add,197.5410,0
45,10,48,0,100,add,285.6890,0
45,10,50,0,2,add,8.1926,0
45,10,50,0,4,add,19.7813,0
45,10,50,0,6,add,31.5559,0
45,10,50,0,8,add,49.3362,0
45,10,50,0,10,add,57.0920,0
45,10,50,0,12,add,64.7453,0
45,10,50,0,14,add,74.7488,0
45,10,50,0,16,add,88.7868,0
45,10,50,0,18,add,96.1465,0
45,10,50,0,20,add,114.0200,0
45,10,50,0,22,add,121.9210,0
45,10,50,0,24,add,129.7350,0
45,10,50,0,26,add,145.1140,0
45,10,50,0,28,add,153.1430,0
45,10,50,0,30,add,170.9960,0
45,10,50,0,32,add,178.9300,0
45,10,50,0,34,add,186.3050,0
45,10,50,0,36,add,200.2100,0
45,10,50,0,38,add,210.5160,0
45,10,50,0,40,add,228.5540,0
45,10,50,0,42,add,236.3160,0
45,10,50,0,44,add,243.7390,0
45,10,50,0,46,add,255.5000,0
45,10,50,0,48,add,267.8340,0
45,10,50,0,50,add,285.5690,0
45,10,50,0,52,add,317.3480,0
45,10,50,0,54,add,308.5700,0
45,10,50,0,56,add,300.4250,0
45,10,50,0,58,add,314.4290,0
45,10,50,0,60,add,311.7020,0
45,10,50,0,62,add,311.5420,0
45,10,50,0,64,add,284.2300,0
45,10,50,0,66,add,305.5760,0
45,10,50,0,68,add,315.3910,0
45,10,50,0,70,add,282.7830,0
45,10,50,0,72,add,290.6980,0
45,10,50,0,74,add,301.0920,0
45,10,50,0,76,add,270.0920,0
45,10,50,0,78,add,284.8580,0
45,10,50,0,80,add,251.1940,0
45,10,50,0,82,add,281.5140,0
45,10,50,0,84,add,272.2350,0
45,10,50,0,86,add,283.9620,0
45,10,50,0,88,add,257.7070,0
45,10,50,0,90,add,244.9240,0
45,10,50,0,92,add,236.2480,0
45,10,50,0,94,add,246.7520,0
45,10,50,0,96,add,222.3130,0
45,10,50,0,98,add,209.9370,0
45,10,50,0,100,add,298.0860,0
45,10,52,0,2,add,8.1926,0
45,10,52,0,4,add,19.4264,0
45,10,52,0,6,add,31.9872,0
45,10,52,0,8,add,39.6831,0
45,10,52,0,10,add,57.8511,0
45,10,52,0,12,add,65.6366,0
45,10,52,0,13,add,73.5781,0
45,10,52,0,15,add,88.8433,0
45,10,52,0,17,add,97.3377,0
45,10,52,0,19,add,115.5450,0
45,10,52,0,21,add,123.4020,0
45,10,52,0,23,add,130.9720,0
45,10,52,0,25,add,143.2450,0
45,10,52,0,27,add,155.5770,0
45,10,52,0,29,add,163.2030,0
45,10,52,0,31,add,181.4410,0
45,10,52,0,33,add,189.1770,0
45,10,52,0,35,add,197.4970,0
45,10,52,0,37,add,213.0290,0
45,10,52,0,38,add,221.0560,0
45,10,52,0,40,add,239.3660,0
45,10,52,0,42,add,247.2640,0
45,10,52,0,44,add,254.9030,0
45,10,52,0,46,add,267.2640,0
45,10,52,0,48,add,279.1990,0
45,10,52,0,50,add,297.3740,0
45,10,52,0,52,add,329.1530,0
45,10,52,0,54,add,319.6310,0
45,10,52,0,56,add,330.3520,0
45,10,52,0,58,add,321.6630,0
45,10,52,0,60,add,315.5820,0
45,10,52,0,62,add,316.9230,0
45,10,52,0,63,add,309.9400,0
45,10,52,0,65,add,307.5700,0
45,10,52,0,67,add,354.0440,0
45,10,52,0,69,add,307.3680,0
45,10,52,0,71,add,306.0100,0
45,10,52,0,73,add,299.0490,0
45,10,52,0,75,add,262.7620,0
45,10,52,0,77,add,275.9440,0
45,10,52,0,79,add,291.6130,0
45,10,52,0,81,add,273.7780,0
45,10,52,0,83,add,284.0870,0
45,10,52,0,85,add,270.6350,0
45,10,52,0,87,add,260.7910,0
45,10,52,0,88,add,253.3730,0
45,10,52,0,90,add,260.2160,0
45,10,52,0,92,add,242.2920,0
45,10,52,0,94,add,260.6900,0
45,10,52,0,96,add,234.1920,0
45,10,52,0,98,add,222.3340,0
45,10,52,0,100,add,310.4830,0
45,10,54,0,2,add,8.1926,0
45,10,54,0,4,add,19.0883,0
45,10,54,0,6,add,32.4265,0
45,10,54,0,7,add,40.0358,0
45,10,54,0,9,add,58.6769,0
45,10,54,0,11,add,66.4080,0
45,10,54,0,13,add,73.9024,0
45,10,54,0,15,add,87.6556,0
45,10,54,0,17,add,98.6400,0
45,10,54,0,19,add,117.1560,0
45,10,54,0,20,add,125.0650,0
45,10,54,0,22,add,132.9200,0
45,10,54,0,24,add,141.1000,0
45,10,54,0,26,add,156.4940,0
45,10,54,0,28,add,164.8700,0
45,10,54,0,30,add,183.6080,0
45,10,54,0,31,add,191.7350,0
45,10,54,0,33,add,199.1830,0
45,10,54,0,35,add,210.2120,0
45,10,54,0,37,add,224.3880,0
45,10,54,0,39,add,231.7300,0
45,10,54,0,41,add,250.1250,0
45,10,54,0,43,add,258.1470,0
45,10,54,0,44,add,265.8400,0
45,10,54,0,46,add,279.0200,0
45,10,54,0,48,add,290.5640,0
45,10,54,0,50,add,309.1790,0
45,10,54,0,52,add,340.9580,0
45,10,54,0,54,add,329.9710,0
45,10,54,0,56,add,339.5980,0
45,10,54,0,57,add,350.7590,0
45,10,54,0,59,add,341.9720,0
45,10,54,0,61,add,323.2880,0
45,10,54,0,63,add,334.9890,0
45,10,54,0,65,add,316.4040,0
45,10,54,0,67,add,349.9460,0
45,10,54,0,69,add,331.6100,0
45,10,54,0,70,add,312.9230,0
45,10,54,0,72,add,319.9500,0
45,10,54,0,74,add,327.6830,0
45,10,54,0,76,add,291.0610,0
